campaign,start,stop,channel,module,output,ra0,dec0,ra1,dec1,ra2,dec2,ra3,dec3
0,2014-03-08,2014-05-27,84,24,4,90.07023561703228,24.121769797628946,90.37761140846054,22.952482446726027,91.56189157831683,23.209499033969816,91.26380332293148,24.381523080960278
1,2014-05-30,2014-08-21,84,24,4,167.77679958466732,6.524200953817628,167.58781898112187,5.336215216380385,168.69802556802642,5.160795591829645,168.8888197728115,6.349068586828906
2,2014-08-23,2014-11-13,84,24,4,238.56484803910325,-18.73487068820576,238.5982130366815,-19.937222601838503,239.78829626441131,-19.903530508155633,239.74558412234046,-18.700865602461647
3,2014-11-14,2015-02-03,84,24,4,328.5282986396706,-11.539567717773657,329.1964061371161,-12.549380978723903,330.15602590461424,-11.938176029413274,329.4850767173717,-10.930426151668764
4,2015-02-07,2015-04-23,84,24,4,50.64662774549612,19.199989724280336,51.24019353890018,18.136772285392993,52.28531583867527,18.65593862380677,51.69575451534113,19.722714007834394
5,2015-04-27,2015-07-10,84,24,4,122.86812073602184,20.866297662311776,122.89817802672451,19.66386419790115,124.08672618990238,19.686420234385224,124.0652867266416,20.889592467036408
6,2015-07-14,2015-09-30,84,24,4,198.52841472401056,-6.328487742575731,198.35105754117697,-7.518296091634903,199.46842183473058,-7.680621718142002,199.64249792880608,-6.489744962696729
7,2015-10-03,2015-12-26,84,24,4,279.36360623399406,-21.703798676447693,279.7430291061112,-22.854180085261373,280.9015055619022,-22.5215813842829,280.5127990422103,-21.37351847705155
8,2016-01-03,2016-03-23,84,24,4,8.354398995491927,4.501766874066893,9.067040302003198,3.5315670353730346,9.97246950037041,4.192582931882871,9.25955784603222,5.16375638858753
9,2016-04-07,2016-07-02,84,24,4,278.7131568687132,-23.91137281418719,278.3395025130031,-22.758577980005064,277.17299422665855,-23.07256803617814,277.53806275276844,-24.22851196157656
10,2016-07-06,2016-09-20,84,24,4,180.65671793292307,1.1123639413872204,180.4561940873259,-0.07356867870087987,181.55997633085596,-0.2598259210493121,181.76018949053528,0.9267427745277389
11,2016-09-24,2016-12-08,84,24,4,252.39903868342645,-20.915573411080292,252.54505416466577,-22.110641978231044,253.7443516304282,-21.97900074564694,253.58799791141263,-20.784500088026814
12,2016-12-15,2017-03-04,84,24,4,343.6853366165383,-5.843954554735092,344.3878169315104,-6.823332264768689,345.30395092090527,-6.171817673993561,344.5998543407853,-5.1934778523349925
13,2017-03-08,2017-05-27,84,24,4,64.31123049581943,21.986623657115445,64.82227255048304,20.881922783751396,65.92654289055436,21.319711733405665,65.42162708387508,22.428082176410967
